kode,nama,program_kode,anggaran,satuan_kerja,satuan_kerja_id
2.15.01.1.05,Administrasi Kepegawaian Perangkat Daerah,2.15.01,167122080,Dinas Perhubungan,1008
3.25.02.1.02,Penerbitan Izin Pemanfaatan Ruang Laut di Bawah 12 Mil di Luar Minyak dan Gas Bumi,3.25.02,95000000,Dinas Kelautan dan Perikanan,1018
2.12.01.1.06,Administrasi Umum Perangkat Daerah,2.12.01,1738096108,Dinas Kependudukan dan Pencatatan Sipil,1023
2.13.01.1.02,Administrasi Keuangan Perangkat Daerah,2.13.01,17267582771,Dinas Pemberdayaan Masyarakat dan Desa,1042
3.25.04.1.01,Penerbitan Izin Usaha Perikanan di Bidang Pembudidayaan Ikan yang Usahanya Lintas Daerah Kabupaten/Kota dalam 1 (satu) Daerah Provinsi,3.25.04,184000000,Dinas Kelautan dan Perikanan,1018
2.12.01.1.01,"Perencanaan, Penganggaran, dan Evaluasi Kinerja Perangkat Daerah",2.12.01,210000000,Dinas Kependudukan dan Pencatatan Sipil,1023
3.29.01.1.01,"Perencanaan, Penganggaran, dan Evaluasi Kinerja Perangkat Daerah",3.29.01,465020298,Dinas Energi dan Sumber Daya Mineral,1013
3.28.04.1.01,Pengelolaan Taman Hutan Raya (TAHURA) Provinsi,3.28.04,400382228,Dinas Kehutanan,1019
3.30.06.1.02,Pelaksanaan Pengujian dan Sertifikasi Mutu Produk di Seluruh Daerah Kabupaten/Kota,3.30.06,2204420166,Dinas Perindustrian dan Perdagangan,1015
3.25.01.1.05,Administrasi Kepegawaian Perangkat Daerah,3.25.01,12100000,Dinas Kelautan dan Perikanan,1018
2.12.05.1.01,Penyediaan Profil Kependudukan,2.12.05,71730000,Dinas Kependudukan dan Pencatatan Sipil,1023
1.01.02.1.01,Pengelolaan Pendidikan Sekolah Menengah Atas,1.01.02,3089894442748,Dinas Pendidikan,1003
3.25.01.1.09,Pemeliharaan Barang Milik Daerah Penunjang Urusan Pemerintahan Daerah,3.25.01,4090771950,Dinas Kelautan dan Perikanan,1018
1.05.01.1.09,Pemeliharaan Barang Milik Daerah Penunjang Urusan Pemerintahan Daerah,1.05.01,1026070000,Satuan Polisi dan Pamong Praja,1027
3.31.01.1.08,Penyediaan Jasa Penunjang Urusan Pemerintahan Daerah,3.31.01,13282586496,Dinas Perindustrian dan Perdagangan,1015
2.08.06.1.02,Penguatan dan Pengembangan Lembaga Penyedia Layanan Peningkatan Kualitas Hidup Anak Kewenangan Provinsi,2.08.06,374420000,"Dinas Pemberdayaan Perempuan, Perlindungan Anak, dan Keluarga Berencana",1041
3.28.03.1.07,Pelaksanaan Pengolahan Hasil Hutan Kayu dengan Kapasitas Produksi <6000 m3/Tahun,3.28.03,75000000,Dinas Kehutanan,1019
3.29.06.1.01,Penatausahaan Izin Usaha Penyediaan Tenaga Listrik Non Badan Usaha Milik Negara dan Penjualan Tenaga Listrik serta Penyewaan Jaringan kepada Penyedia Tenaga Listrik dalam Daerah Provinsi,3.29.06,350000000,Dinas Energi dan Sumber Daya Mineral,1013
4.01.08.1.01,Pengendalian Administrasi Pelaksanaan Pembangunan Daerah,4.01.08,797888680,Sekretariat Daerah,1001
4.02.01.1.05,Administrasi Kepegawaian Perangkat Daerah,4.02.01,946348500,Sekretariat Dewan Perwakilan Rakyat Daerah,1002
1.02.04.1.02,Penerbitan Izin Usaha Kecil Obat Tradisional (UKOT),1.02.04,68197145,Dinas Kesehatan,1004
3.26.01.1.06,Administrasi Umum Perangkat Daerah,3.26.01,1658613333,Dinas Pariwisata dan Kebudayaan,1009
2.22.06.1.01,Pengelolaan Museum Provinsi,2.22.06,3750000000,Dinas Pariwisata dan Kebudayaan,1009
3.27.07.1.01,Pengembangan Ketenagaan Penyuluhan Pertanian,3.27.07,83177143858,Dinas Tanaman Pangan dan Hortikultura,1016
