kode,nama,satuan_kerja,anggaran,satuan_kerja_id
3.25.05,PROGRAM PENGAWASAN SUMBER DAYA KELAUTAN DAN PERIKANAN,Dinas Kelautan dan Perikanan,3175799843,1018
2.17.05,PROGRAM PENDIDIKAN DAN LATIHAN PERKOPERASIAN,Dinas Koperasi dan Usaha Kecil,19302554320,1014
2.08.02,PROGRAM PENGARUSUTAMAAN GENDER DAN PEMBERDAYAAN PEREMPUAN,"Dinas Pemberdayaan Perempuan, Perlindungan Anak, dan Keluarga Berencana",1845132500,1041
1.06.02,PROGRAM PEMBERDAYAAN SOSIAL,Dinas Sosial,11139166153,1006
2.10.02,PROGRAM PENGELOLAAN IZIN LOKASI,Dinas Perumahan dan Permukiman,150000000,1012
2.11.11,PROGRAM PENGELOLAAN PERSAMPAHAN,Dinas Lingkungan Hidup,58409333925,1034
2.24.02,PROGRAM PENGELOLAAN ARSIP,Dinas Perpustakaan dan Kearsipan,830570644,1040
2.23.01,PROGRAM PENUNJANG URUSAN PEMERINTAHAN DAERAH PROVINSI,Dinas Perpustakaan dan Kearsipan,45199993374,1040
3.27.04,PROGRAM PENGENDALIAN KESEHATAN HEWAN DAN KESEHATAN MASYARAKAT VETERINER,Dinas Ketahanan Pangan dan Peternakan,7638721384,1017
2.13.02,PROGRAM PENATAAN DESA,Dinas Pemberdayaan Masyarakat dan Desa,464000000,1042
3.26.02,PROGRAM PENINGKATAN DAYA TARIK DESTINASI PARIWISATA,Dinas Pariwisata dan Kebudayaan,4667174951,1009
1.04.05,"PROGRAM PENINGKATAN PRASARANA, SARANA DAN UTILITAS UMUM (PSU)",Dinas Perumahan dan Permukiman,3247000000,1012
1.06.04,PROGRAM REHABILITASI SOSIAL,Dinas Sosial,19514830163,1006
5.01.03,PROGRAM KOORDINASI DAN SINKRONISASI PERENCANAAN PEMBANGUNAN DAERAH,Badan Perencanaan Pembangunan Daerah,11904964762,1026
2.22.06,PROGRAM PENGELOLAAN PERMUSEUMAN,Dinas Pariwisata dan Kebudayaan,3750000000,1009
2.17.07,"PROGRAM PEMBERDAYAAN USAHA MENENGAH, USAHA KECIL, DAN USAHA MIKRO (UMKM)",Dinas Koperasi dan Usaha Kecil,2419964000,1014
1.03.11,PROGRAM PENGEMBANGAN JASA KONSTRUKSI,Dinas Bina Marga dan Penataan Ruang,1247073600,1010
1.03.01,PROGRAM PENUNJANG URUSAN PEMERINTAHAN DAERAH PROVINSI,Dinas Sumber Daya Air,84979581254,1011
3.30.05,PROGRAM PENGEMBANGAN EKSPOR,Dinas Perindustrian dan Perdagangan,1468484836,1015
2.07.01,PROGRAM PENUNJANG URUSAN PEMERINTAHAN DAERAH PROVINSI,Dinas Tenaga Kerja dan Transmigrasi,105428334796,1007
2.09.04,PROGRAM PENANGANAN KERAWANAN PANGAN,Dinas Ketahanan Pangan dan Peternakan,214130000,1017
2.11.10,PROGRAM PENANGANAN PENGADUAN LINGKUNGAN HIDUP,Dinas Lingkungan Hidup,1687431720,1034
5.01.02,"PROGRAM PERENCANAAN, PENGENDALIAN DAN EVALUASI PEMBANGUNAN DAERAH",Badan Perencanaan Pembangunan Daerah,12076225120,1026
2.11.06,PROGRAM PEMBINAAN DAN PENGAWASAN TERHADAP IZIN LINGKUNGAN DAN IZIN PERLINDUNGAN DAN PENGELOLAAN LINGKUNGAN HIDUP (PPLH),Dinas Lingkungan Hidup,535157640,1034
2.10.03,PROGRAM PENGADAAN TANAH UNTUK KEPENTINGAN UMUM,Dinas Perumahan dan Permukiman,350000000,1012
1.03.02,PROGRAM PENGELOLAAN SUMBER DAYA AIR (SDA),Dinas Sumber Daya Air,220403082583,1011
