kode,nama,anggaran,kegiatan_kode,satuan_kerja,satuan_kerja_id
1.02.01.1.08.04,Penyediaan Jasa Pelayanan Umum Kantor,28566356120,1.02.01.1.08,Dinas Kesehatan,1004
1.03.01.1.08.02,"Penyediaan Jasa Komunikasi, Sumber Daya Air dan Listrik",1924102720,1.03.01.1.08,Dinas Bina Marga dan Penataan Ruang,1010
1.03.01.1.08.03,Penyediaan Jasa Peralatan dan Perlengkapan Kantor,529377900,1.03.01.1.08,Dinas Bina Marga dan Penataan Ruang,1010
1.03.01.1.08.04,Penyediaan Jasa Pelayanan Umum Kantor,14767539938,1.03.01.1.08,Dinas Bina Marga dan Penataan Ruang,1010
1.03.01.1.08.02,"Penyediaan Jasa Komunikasi, Sumber Daya Air dan Listrik",3869437160,1.03.01.1.08,Dinas Sumber Daya Air,1011
1.03.01.1.08.03,Penyediaan Jasa Peralatan dan Perlengkapan Kantor,803468000,1.03.01.1.08,Dinas Sumber Daya Air,1011
1.03.01.1.08.04,Penyediaan Jasa Pelayanan Umum Kantor,10707899869,1.03.01.1.08,Dinas Sumber Daya Air,1011
1.04.01.1.08.02,"Penyediaan Jasa Komunikasi, Sumber Daya Air dan Listrik",2739395000,1.04.01.1.08,Dinas Perumahan dan Permukiman,1012
1.04.01.1.08.04,Penyediaan Jasa Pelayanan Umum Kantor,14460988363,1.04.01.1.08,Dinas Perumahan dan Permukiman,1012
1.05.01.1.08.02,"Penyediaan Jasa Komunikasi, Sumber Daya Air dan Listrik",118121600,1.05.01.1.08,Satuan Polisi dan Pamong Praja,1027
1.05.01.1.08.04,Penyediaan Jasa Pelayanan Umum Kantor,526241244,1.05.01.1.08,Satuan Polisi dan Pamong Praja,1027
1.05.01.1.08.02,"Penyediaan Jasa Komunikasi, Sumber Daya Air dan Listrik",777915999,1.05.01.1.08,Badan Penanggulangan Bencana Daerah,1080
1.05.01.1.08.04,Penyediaan Jasa Pelayanan Umum Kantor,1920831705,1.05.01.1.08,Badan Penanggulangan Bencana Daerah,1080
1.06.01.1.08.02,"Penyediaan Jasa Komunikasi, Sumber Daya Air dan Listrik",2160963628,1.06.01.1.08,Dinas Sosial,1006
1.06.01.1.08.04,Penyediaan Jasa Pelayanan Umum Kantor,22242290956,1.06.01.1.08,Dinas Sosial,1006
2.07.01.1.08.02,"Penyediaan Jasa Komunikasi, Sumber Daya Air dan Listrik",1071665104,2.07.01.1.08,Dinas Tenaga Kerja dan Transmigrasi,1007
2.07.01.1.08.03,Penyediaan Jasa Peralatan dan Perlengkapan Kantor,650000000,2.07.01.1.08,Dinas Tenaga Kerja dan Transmigrasi,1007
2.07.01.1.08.04,Penyediaan Jasa Pelayanan Umum Kantor,8694476715,2.07.01.1.08,Dinas Tenaga Kerja dan Transmigrasi,1007
2.08.01.1.08.01,Penyediaan Jasa Surat Menyurat,6180000,2.08.01.1.08,"Dinas Pemberdayaan Perempuan, Perlindungan Anak, dan Keluarga Berencana",1041
2.08.01.1.08.02,"Penyediaan Jasa Komunikasi, Sumber Daya Air dan Listrik",302400000,2.08.01.1.08,"Dinas Pemberdayaan Perempuan, Perlindungan Anak, dan Keluarga Berencana",1041
2.08.01.1.08.03,Penyediaan Jasa Peralatan dan Perlengkapan Kantor,955472820,2.08.01.1.08,"Dinas Pemberdayaan Perempuan, Perlindungan Anak, dan Keluarga Berencana",1041
2.08.01.1.08.04,Penyediaan Jasa Pelayanan Umum Kantor,2146826576,2.08.01.1.08,"Dinas Pemberdayaan Perempuan, Perlindungan Anak, dan Keluarga Berencana",1041
2.09.01.1.08.01,Penyediaan Jasa Surat Menyurat,46783000,2.09.01.1.08,Dinas Ketahanan Pangan dan Peternakan,1017
2.09.01.1.08.02,"Penyediaan Jasa Komunikasi, Sumber Daya Air dan Listrik",1569035508,2.09.01.1.08,Dinas Ketahanan Pangan dan Peternakan,1017
2.09.01.1.08.03,Penyediaan Jasa Peralatan dan Perlengkapan Kantor,11286000,2.09.01.1.08,Dinas Ketahanan Pangan dan Peternakan,1017
2.09.01.1.08.04,Penyediaan Jasa Pelayanan Umum Kantor,5844775670,2.09.01.1.08,Dinas Ketahanan Pangan dan Peternakan,1017
2.11.01.1.08.02,"Penyediaan Jasa Komunikasi, Sumber Daya Air dan Listrik",7083399210,2.11.01.1.08,Dinas Lingkungan Hidup,1034
2.11.01.1.08.04,Penyediaan Jasa Pelayanan Umum Kantor,4458624670,2.11.01.1.08,Dinas Lingkungan Hidup,1034
2.12.01.1.08.02,"Penyediaan Jasa Komunikasi, Sumber Daya Air dan Listrik",50000000,2.12.01.1.08,Dinas Kependudukan dan Pencatatan Sipil,1023
2.12.01.1.08.04,Penyediaan Jasa Pelayanan Umum Kantor,1100133436,2.12.01.1.08,Dinas Kependudukan dan Pencatatan Sipil,1023
2.13.01.1.08.02,"Penyediaan Jasa Komunikasi, Sumber Daya Air dan Listrik",2079170000,2.13.01.1.08,Dinas Pemberdayaan Masyarakat dan Desa,1042
2.13.01.1.08.03,Penyediaan Jasa Peralatan dan Perlengkapan Kantor,246533770,2.13.01.1.08,Dinas Pemberdayaan Masyarakat dan Desa,1042
2.13.01.1.08.04,Penyediaan Jasa Pelayanan Umum Kantor,5222380760,2.13.01.1.08,Dinas Pemberdayaan Masyarakat dan Desa,1042
2.15.01.1.08.02,"Penyediaan Jasa Komunikasi, Sumber Daya Air dan Listrik",2189967976,2.15.01.1.08,Dinas Perhubungan,1008
2.15.01.1.08.04,Penyediaan Jasa Pelayanan Umum Kantor,18614212628,2.15.01.1.08,Dinas Perhubungan,1008
2.15.01.1.08.01,Penyediaan Jasa Surat Menyurat,7700000,2.15.01.1.08,Badan Penghubung,1043
2.15.01.1.08.02,"Penyediaan Jasa Komunikasi, Sumber Daya Air dan Listrik",425400000,2.15.01.1.08,Badan Penghubung,1043
2.15.01.1.08.03,Penyediaan Jasa Peralatan dan Perlengkapan Kantor,33960000,2.15.01.1.08,Badan Penghubung,1043
2.15.01.1.08.04,Penyediaan Jasa Pelayanan Umum Kantor,1923905717,2.15.01.1.08,Badan Penghubung,1043
2.16.01.1.08.01,Penyediaan Jasa Surat Menyurat,178000000,2.16.01.1.08,Dinas Komunikasi dan Informatika,1022
2.16.01.1.08.02,"Penyediaan Jasa Komunikasi, Sumber Daya Air dan Listrik",1274680000,2.16.01.1.08,Dinas Komunikasi dan Informatika,1022
2.16.01.1.08.04,Penyediaan Jasa Pelayanan Umum Kantor,3014265038,2.16.01.1.08,Dinas Komunikasi dan Informatika,1022
2.17.01.1.08.02,"Penyediaan Jasa Komunikasi, Sumber Daya Air dan Listrik",590961000,2.17.01.1.08,Dinas Koperasi dan Usaha Kecil,1014
2.17.01.1.08.03,Penyediaan Jasa Peralatan dan Perlengkapan Kantor,739294172,2.17.01.1.08,Dinas Koperasi dan Usaha Kecil,1014
2.17.01.1.08.04,Penyediaan Jasa Pelayanan Umum Kantor,8190346516,2.17.01.1.08,Dinas Koperasi dan Usaha Kecil,1014
2.18.01.1.08.01,Penyediaan Jasa Surat Menyurat,30000000,2.18.01.1.08,Dinas Penanaman Modal dan Pelayanan Terpadu Satu Pintu,1046
2.18.01.1.08.02,"Penyediaan Jasa Komunikasi, Sumber Daya Air dan Listrik",697400000,2.18.01.1.08,Dinas Penanaman Modal dan Pelayanan Terpadu Satu Pintu,1046
2.18.01.1.08.03,Penyediaan Jasa Peralatan dan Perlengkapan Kantor,2466824280,2.18.01.1.08,Dinas Penanaman Modal dan Pelayanan Terpadu Satu Pintu,1046
2.18.01.1.08.04,Penyediaan Jasa Pelayanan Umum Kantor,2192000000,2.18.01.1.08,Dinas Penanaman Modal dan Pelayanan Terpadu Satu Pintu,1046
2.19.01.1.08.01,Penyediaan Jasa Surat Menyurat,20000000,2.19.01.1.08,Dinas Pemuda dan Olahraga,1021
2.19.01.1.08.02,"Penyediaan Jasa Komunikasi, Sumber Daya Air dan Listrik",1100000000,2.19.01.1.08,Dinas Pemuda dan Olahraga,1021
2.19.01.1.08.04,Penyediaan Jasa Pelayanan Umum Kantor,6851718496,2.19.01.1.08,Dinas Pemuda dan Olahraga,1021
2.22.01.1.08.02,"Penyediaan Jasa Komunikasi, Sumber Daya Air dan Listrik",738398105,2.22.01.1.08,Dinas Pariwisata dan Kebudayaan,1009
2.22.01.1.08.04,Penyediaan Jasa Pelayanan Umum Kantor,10700699564,2.22.01.1.08,Dinas Pariwisata dan Kebudayaan,1009
2.23.01.1.08.02,"Penyediaan Jasa Komunikasi, Sumber Daya Air dan Listrik",1031007996,2.23.01.1.08,Dinas Perpustakaan dan Kearsipan,1040
2.23.01.1.08.04,Penyediaan Jasa Pelayanan Umum Kantor,5131369404,2.23.01.1.08,Dinas Perpustakaan dan Kearsipan,1040
3.25.01.1.08.02,"Penyediaan Jasa Komunikasi, Sumber Daya Air dan Listrik",3924047234,3.25.01.1.08,Dinas Kelautan dan Perikanan,1018
3.25.01.1.08.03,Penyediaan Jasa Peralatan dan Perlengkapan Kantor,635640000,3.25.01.1.08,Dinas Kelautan dan Perikanan,1018
3.25.01.1.08.04,Penyediaan Jasa Pelayanan Umum Kantor,8182736267,3.25.01.1.08,Dinas Kelautan dan Perikanan,1018
3.26.01.1.08.01,Penyediaan Jasa Surat Menyurat,30000000,3.26.01.1.08,Dinas Pariwisata dan Kebudayaan,1009
3.26.01.1.08.02,"Penyediaan Jasa Komunikasi, Sumber Daya Air dan Listrik",1116324016,3.26.01.1.08,Dinas Pariwisata dan Kebudayaan,1009
3.26.01.1.08.04,Penyediaan Jasa Pelayanan Umum Kantor,5828021496,3.26.01.1.08,Dinas Pariwisata dan Kebudayaan,1009
3.27.01.1.08.02,"Penyediaan Jasa Komunikasi, Sumber Daya Air dan Listrik",2182684942,3.27.01.1.08,Dinas Tanaman Pangan dan Hortikultura,1016
3.27.01.1.08.04,Penyediaan Jasa Pelayanan Umum Kantor,18735509968,3.27.01.1.08,Dinas Tanaman Pangan dan Hortikultura,1016
3.27.01.1.08.01,Penyediaan Jasa Surat Menyurat,313169280,3.27.01.1.08,Dinas Perkebunan,1020
3.27.01.1.08.02,"Penyediaan Jasa Komunikasi, Sumber Daya Air dan Listrik",418617017,3.27.01.1.08,Dinas Perkebunan,1020
3.27.01.1.08.03,Penyediaan Jasa Peralatan dan Perlengkapan Kantor,64838000,3.27.01.1.08,Dinas Perkebunan,1020
3.27.01.1.08.04,Penyediaan Jasa Pelayanan Umum Kantor,4518071934,3.27.01.1.08,Dinas Perkebunan,1020
3.28.01.1.08.01,Penyediaan Jasa Surat Menyurat,12500000,3.28.01.1.08,Dinas Kehutanan,1019
3.28.01.1.08.02,"Penyediaan Jasa Komunikasi, Sumber Daya Air dan Listrik",4375084114,3.28.01.1.08,Dinas Kehutanan,1019
3.28.01.1.08.03,Penyediaan Jasa Peralatan dan Perlengkapan Kantor,631503996,3.28.01.1.08,Dinas Kehutanan,1019
3.28.01.1.08.04,Penyediaan Jasa Pelayanan Umum Kantor,8179665306,3.28.01.1.08,Dinas Kehutanan,1019
3.29.01.1.08.02,"Penyediaan Jasa Komunikasi, Sumber Daya Air dan Listrik",975819460,3.29.01.1.08,Dinas Energi dan Sumber Daya Mineral,1013
3.29.01.1.08.03,Penyediaan Jasa Peralatan dan Perlengkapan Kantor,117000000,3.29.01.1.08,Dinas Energi dan Sumber Daya Mineral,1013
3.29.01.1.08.04,Penyediaan Jasa Pelayanan Umum Kantor,6688667766,3.29.01.1.08,Dinas Energi dan Sumber Daya Mineral,1013
3.30.01.1.08.02,"Penyediaan Jasa Komunikasi, Sumber Daya Air dan Listrik",513245753,3.30.01.1.08,Dinas Perindustrian dan Perdagangan,1015
3.30.01.1.08.04,Penyediaan Jasa Pelayanan Umum Kantor,2935692826,3.30.01.1.08,Dinas Perindustrian dan Perdagangan,1015
3.31.01.1.08.02,"Penyediaan Jasa Komunikasi, Sumber Daya Air dan Listrik",1058198776,3.31.01.1.08,Dinas Perindustrian dan Perdagangan,1015
3.31.01.1.08.03,Penyediaan Jasa Peralatan dan Perlengkapan Kantor,2572480000,3.31.01.1.08,Dinas Perindustrian dan Perdagangan,1015
3.31.01.1.08.04,Penyediaan Jasa Pelayanan Umum Kantor,9651907720,3.31.01.1.08,Dinas Perindustrian dan Perdagangan,1015
4.01.01.1.08.02,"Penyediaan Jasa Komunikasi, Sumber Daya Air dan Listrik",9915039968,4.01.01.1.08,Sekretariat Daerah,1001
4.01.01.1.08.03,Penyediaan Jasa Peralatan dan Perlengkapan Kantor,45000000,4.01.01.1.08,Sekretariat Daerah,1001
4.01.01.1.08.04,Penyediaan Jasa Pelayanan Umum Kantor,49405225964,4.01.01.1.08,Sekretariat Daerah,1001
4.02.01.1.08.01,Penyediaan Jasa Surat Menyurat,21500000,4.02.01.1.08,Sekretariat Dewan Perwakilan Rakyat Daerah,1002
4.02.01.1.08.02,"Penyediaan Jasa Komunikasi, Sumber Daya Air dan Listrik",1866601054,4.02.01.1.08,Sekretariat Dewan Perwakilan Rakyat Daerah,1002
4.02.01.1.08.03,Penyediaan Jasa Peralatan dan Perlengkapan Kantor,1937900000,4.02.01.1.08,Sekretariat Dewan Perwakilan Rakyat Daerah,1002
4.02.01.1.08.04,Penyediaan Jasa Pelayanan Umum Kantor,14569502500,4.02.01.1.08,Sekretariat Dewan Perwakilan Rakyat Daerah,1002
5.01.01.1.08.02,"Penyediaan Jasa Komunikasi, Sumber Daya Air dan Listrik",1410103405,5.01.01.1.08,Badan Perencanaan Pembangunan Daerah,1026
5.01.01.1.08.03,Penyediaan Jasa Peralatan dan Perlengkapan Kantor,391275000,5.01.01.1.08,Badan Perencanaan Pembangunan Daerah,1026
5.01.01.1.08.04,Penyediaan Jasa Pelayanan Umum Kantor,4685949736,5.01.01.1.08,Badan Perencanaan Pembangunan Daerah,1026
5.02.01.1.08.01,Penyediaan Jasa Surat Menyurat,55640000,5.02.01.1.08,Badan Pengelolaan Keuangan dan Aset Daerah,1024
5.02.01.1.08.02,"Penyediaan Jasa Komunikasi, Sumber Daya Air dan Listrik",1070164800,5.02.01.1.08,Badan Pengelolaan Keuangan dan Aset Daerah,1024
5.02.01.1.08.03,Penyediaan Jasa Peralatan dan Perlengkapan Kantor,215000000,5.02.01.1.08,Badan Pengelolaan Keuangan dan Aset Daerah,1024
5.02.01.1.08.04,Penyediaan Jasa Pelayanan Umum Kantor,7557104003,5.02.01.1.08,Badan Pengelolaan Keuangan dan Aset Daerah,1024
5.02.01.1.08.02,"Penyediaan Jasa Komunikasi, Sumber Daya Air dan Listrik",28700338250,5.02.01.1.08,Badan Pendapatan Daerah,1005
5.02.01.1.08.04,Penyediaan Jasa Pelayanan Umum Kantor,57536832058,5.02.01.1.08,Badan Pendapatan Daerah,1005
5.03.01.1.08.02,"Penyediaan Jasa Komunikasi, Sumber Daya Air dan Listrik",780600000,5.03.01.1.08,Badan Kepegawaian Daerah,1030
5.03.01.1.08.04,Penyediaan Jasa Pelayanan Umum Kantor,1958548104,5.03.01.1.08,Badan Kepegawaian Daerah,1030
5.04.01.1.08.02,"Penyediaan Jasa Komunikasi, Sumber Daya Air dan Listrik",1284547631,5.04.01.1.08,Badan Pengembangan Sumber Daya Manusia,1031
5.04.01.1.08.03,Penyediaan Jasa Peralatan dan Perlengkapan Kantor,482660365,5.04.01.1.08,Badan Pengembangan Sumber Daya Manusia,1031
5.04.01.1.08.04,Penyediaan Jasa Pelayanan Umum Kantor,7519978096,5.04.01.1.08,Badan Pengembangan Sumber Daya Manusia,1031
5.05.01.1.08.02,"Penyediaan Jasa Komunikasi, Sumber Daya Air dan Listrik",47520000,5.05.01.1.08,Badan Penelitian dan Pengembangan Daerah,1045
5.05.01.1.08.04,Penyediaan Jasa Pelayanan Umum Kantor,2230335340,5.05.01.1.08,Badan Penelitian dan Pengembangan Daerah,1045
6.01.01.1.08.01,Penyediaan Jasa Surat Menyurat,84000000,6.01.01.1.08,Inspektorat,1025
6.01.01.1.08.02,"Penyediaan Jasa Komunikasi, Sumber Daya Air dan Listrik",331008912,6.01.01.1.08,Inspektorat,1025
6.01.01.1.08.03,Penyediaan Jasa Peralatan dan Perlengkapan Kantor,154800000,6.01.01.1.08,Inspektorat,1025
6.01.01.1.08.04,Penyediaan Jasa Pelayanan Umum Kantor,2265009588,6.01.01.1.08,Inspektorat,1025
8.01.01.1.08.02,"Penyediaan Jasa Komunikasi, Sumber Daya Air dan Listrik",771692000,8.01.01.1.08,Badan Kesatuan Bangsa dan Politik,1035
8.01.01.1.08.04,Penyediaan Jasa Pelayanan Umum Kantor,1429206400,8.01.01.1.08,Badan Kesatuan Bangsa dan Politik,1035
1.01.01.1.09.01,"Penyediaan Jasa Pemeliharaan, Biaya Pemeliharaan dan Pajak Kendaraan Perorangan Dinas atau Kendaraan Dinas Jabatan",392853500,1.01.01.1.09,Dinas Pendidikan,1003
1.01.01.1.09.02,"Penyediaan Jasa Pemeliharaan, Biaya Pemeliharaan, Pajak dan Perizinan Kendaraan Dinas Operasional atau Lapangan",1743992000,1.01.01.1.09,Dinas Pendidikan,1003
1.01.01.1.09.05,Pemeliharaan Mebel,0,1.01.01.1.09,Dinas Pendidikan,1003
1.01.01.1.09.06,Pemeliharaan Peralatan dan Mesin Lainnya,1331608500,1.01.01.1.09,Dinas Pendidikan,1003
1.01.01.1.09.07,Pemeliharaan Aset Tetap Lainnya,67000000,1.01.01.1.09,Dinas Pendidikan,1003
1.01.01.1.09.09,Pemeliharaan/Rehabilitasi Gedung Kantor dan Bangunan Lainnya,4815952876,1.01.01.1.09,Dinas Pendidikan,1003
